variant,temperature,initial_xm,status,final_aq,final_xm,constraint_init_iterations,solves
undamped,2.82000000000000000e+02,1.00000000000000000e+00,Constraint Initialization Failed,1.00000000000000000e+00,1.00000000000000000e+00,11,11
undamped,2.82000000000000000e+02,1.00000000000000000e+01,Converged,5.00079462880625972e+05,7.07162967696381997e+02,11,11
undamped,2.82000000000000000e+02,1.00000000000000000e+02,Converged,5.00079462880625972e+05,7.07162984937248325e+02,7,7
undamped,2.82000000000000000e+02,3.00000000000000000e+02,Converged,5.00079462880625972e+05,7.07162967696374949e+02,6,6
undamped,2.82000000000000000e+02,6.00000000000000000e+02,Converged,5.00079462880625972e+05,7.07162970581830109e+02,4,4
undamped,2.82000000000000000e+02,8.00000000000000000e+02,Converged,5.00079462880625972e+05,7.07162967989123331e+02,4,4
undamped,2.82000000000000000e+02,9.00000000000000000e+02,Converged,5.00079462880625972e+05,7.07163028452642152e+02,4,4
undamped,2.82000000000000000e+02,1.20000000000000000e+03,Converged,5.00079462880625972e+05,7.07162968255248188e+02,5,5
undamped,2.82000000000000000e+02,2.00000000000000000e+03,Converged,5.00079462880625972e+05,7.07162967771777176e+02,6,6
undamped,2.83000000000000000e+02,1.00000000000000000e+00,Constraint Initialization Failed,1.00000000000000000e+00,1.00000000000000000e+00,11,11
undamped,2.83000000000000000e+02,1.00000000000000000e+01,Converged,5.47405889138363302e+05,7.39868832388852297e+02,11,11
undamped,2.83000000000000000e+02,1.00000000000000000e+02,Converged,5.47405889138363302e+05,7.39868873169792323e+02,7,7
undamped,2.83000000000000000e+02,3.00000000000000000e+02,Converged,5.47405889138363302e+05,7.39868832389080239e+02,6,6
undamped,2.83000000000000000e+02,6.00000000000000000e+02,Converged,5.47405889138363302e+05,7.39868853254159831e+02,4,4
undamped,2.83000000000000000e+02,8.00000000000000000e+02,Converged,5.47405889138363302e+05,7.39868832395446816e+02,4,4
undamped,2.83000000000000000e+02,9.00000000000000000e+02,Converged,5.47405889138363302e+05,7.39868844620047184e+02,4,4
undamped,2.83000000000000000e+02,1.20000000000000000e+03,Converged,5.47405889138363302e+05,7.39868832536017180e+02,5,5
undamped,2.83000000000000000e+02,2.00000000000000000e+03,Converged,5.47405889138363302e+05,7.39868832411222229e+02,6,6
undamped,2.84000000000000000e+02,1.00000000000000000e+00,Constraint Initialization Failed,1.00000000000000000e+00,1.00000000000000000e+00,11,11
undamped,2.84000000000000000e+02,1.00000000000000000e+01,Converged,5.98829737292087288e+05,7.73840899216214893e+02,11,11
undamped,2.84000000000000000e+02,1.00000000000000000e+02,Converged,5.98829737292087288e+05,7.73840991613323013e+02,7,7
undamped,2.84000000000000000e+02,3.00000000000000000e+02,Converged,5.98829737292087288e+05,7.73840899217861875e+02,6,6
undamped,2.84000000000000000e+02,6.00000000000000000e+02,Converged,5.98829737292087288e+05,7.73841000931140343e+02,4,4
undamped,2.84000000000000000e+02,8.00000000000000000e+02,Converged,5.98829737292087288e+05,7.73841017332945285e+02,3,3
undamped,2.84000000000000000e+02,9.00000000000000000e+02,Converged,5.98829737292087288e+05,7.73840900823078755e+02,4,4
undamped,2.84000000000000000e+02,1.20000000000000000e+03,Converged,5.98829737292087288e+05,7.73840899245758578e+02,5,5
undamped,2.84000000000000000e+02,2.00000000000000000e+03,Converged,5.98829737292087288e+05,7.73840899218248865e+02,6,6
undamped,2.85000000000000000e+02,1.00000000000000000e+00,Constraint Initialization Failed,1.00000000000000000e+00,1.00000000000000000e+00,11,11
undamped,2.85000000000000000e+02,1.00000000000000000e+01,Converged,6.54671765158005059e+05,8.09117893254502519e+02,11,11
undamped,2.85000000000000000e+02,1.00000000000000000e+02,Converged,6.54671765158005059e+05,8.09117893238090119e+02,8,8
undamped,2.85000000000000000e+02,3.00000000000000000e+02,Converged,6.54671765158005059e+05,8.09117893262496295e+02,6,6
undamped,2.85000000000000000e+02,6.00000000000000000e+02,Converged,6.54671765158005059e+05,8.09117893238154807e+02,5,5
undamped,2.85000000000000000e+02,8.00000000000000000e+02,Converged,6.54671765158005059e+05,8.09117894906342940e+02,3,3
undamped,2.85000000000000000e+02,9.00000000000000000e+02,Converged,6.54671765158005059e+05,8.09117893341506146e+02,4,4
undamped,2.85000000000000000e+02,1.20000000000000000e+03,Converged,6.54671765158005059e+05,8.09117893244883589e+02,5,5
undamped,2.85000000000000000e+02,2.00000000000000000e+03,Converged,6.54671765158005059e+05,8.09117893239982095e+02,6,6
undamped,2.86000000000000000e+02,1.00000000000000000e+00,Constraint Initialization Failed,1.00000000000000000e+00,1.00000000000000000e+00,11,11
undamped,2.86000000000000000e+02,1.00000000000000000e+01,Converged,7.15275075887103681e+05,8.45739366456402422e+02,11,11
undamped,2.86000000000000000e+02,1.00000000000000000e+02,Converged,7.15275075887103681e+05,8.45739366405088731e+02,8,8
undamped,2.86000000000000000e+02,3.00000000000000000e+02,Converged,7.15275075887103681e+05,8.45739366488361384e+02,6,6
undamped,2.86000000000000000e+02,6.00000000000000000e+02,Converged,7.15275075887103681e+05,8.45739366405805072e+02,5,5
undamped,2.86000000000000000e+02,8.00000000000000000e+02,Converged,7.15275075887103681e+05,8.45739366405586111e+02,4,4
undamped,2.86000000000000000e+02,9.00000000000000000e+02,Converged,7.15275075887103681e+05,8.45739366406457293e+02,4,4
undamped,2.86000000000000000e+02,1.20000000000000000e+03,Converged,7.15275075887103681e+05,8.45739366406090085e+02,5,5
undamped,2.86000000000000000e+02,2.00000000000000000e+03,Converged,7.15275075887103681e+05,8.45739366405471173e+02,6,6
undamped,2.87000000000000000e+02,1.00000000000000000e+00,Constraint Initialization Failed,1.00000000000000000e+00,1.00000000000000000e+00,11,11
undamped,2.87000000000000000e+02,1.00000000000000000e+01,Converged,7.81006471680847812e+05,8.83745705477510910e+02,11,11
undamped,2.87000000000000000e+02,1.00000000000000000e+02,Converged,7.81006471680847812e+05,8.83745705325673612e+02,8,8
undamped,2.87000000000000000e+02,3.00000000000000000e+02,Converged,7.81006471680847812e+05,8.83745705589654449e+02,6,6
undamped,2.87000000000000000e+02,6.00000000000000000e+02,Converged,7.81006471680847812e+05,8.83745705330919236e+02,5,5
undamped,2.87000000000000000e+02,8.00000000000000000e+02,Converged,7.81006471680847812e+05,8.83745705391461797e+02,4,4
undamped,2.87000000000000000e+02,9.00000000000000000e+02,Converged,7.81006471680847812e+05,8.83745717512299052e+02,3,3
undamped,2.87000000000000000e+02,1.20000000000000000e+03,Converged,7.81006471680847812e+05,8.83745705325403719e+02,5,5
undamped,2.87000000000000000e+02,2.00000000000000000e+03,Converged,7.81006471680847812e+05,8.83745705325377685e+02,6,6
undamped,2.88000000000000000e+02,1.00000000000000000e+00,Constraint Initialization Failed,1.00000000000000000e+00,1.00000000000000000e+00,11,11
undamped,2.88000000000000000e+02,1.00000000000000000e+01,Converged,8.52257876262356527e+05,9.23178139392720368e+02,11,11
