time,cell,A,B,C
178,0,1,3.84844e-08,2.77617e-07
178,1,0.666666,2.85781e-08,1.95581e-07
178,2,0.333333,1.03031e-08,8.16161e-08
179,0,1,3.84848e-08,2.79393e-07
179,1,0.666666,2.85786e-08,1.9684e-07
179,2,0.333333,1.03031e-08,8.21324e-08
180,0,1,3.84853e-08,2.81168e-07
180,1,0.666666,2.85791e-08,1.98099e-07
180,2,0.333333,1.03032e-08,8.26488e-08
181,0,1,3.84857e-08,2.82943e-07
181,1,0.666666,2.85795e-08,1.99358e-07
181,2,0.333333,1.03033e-08,8.31651e-08
182,0,1,3.84861e-08,2.84719e-07
182,1,0.666666,2.85799e-08,2.00617e-07
182,2,0.333333,1.03033e-08,8.36814e-08
183,0,1,3.84865e-08,2.86494e-07
183,1,0.666666,2.85803e-08,2.01876e-07
183,2,0.333333,1.03034e-08,8.41978e-08
184,0,1,3.84869e-08,2.8827e-07
184,1,0.666666,2.85807e-08,2.03135e-07
184,2,0.333333,1.03034e-08,8.47141e-08
185,0,1,3.84872e-08,2.90045e-07
185,1,0.666666,2.85811e-08,2.04394e-07
185,2,0.333333,1.03035e-08,8.52305e-08
186,0,1,3.84876e-08,2.91821e-07
186,1,0.666666,2.85815e-08,2.05653e-07
186,2,0.333333,1.03035e-08,8.57468e-08
187,0,1,3.84879e-08,2.93596e-07
187,1,0.666666,2.85818e-08,2.06912e-07
187,2,0.333333,1.03036e-08,8.62632e-08
188,0,1,3.84882e-08,2.95372e-07
188,1,0.666666,2.85821e-08,2.08171e-07
188,2,0.333333,1.03036e-08,8.67795e-08
189,0,1,3.84885e-08,2.97147e-07
189,1,0.666666,2.85824e-08,2.0943e-07
189,2,0.333333,1.03037e-08,8.72959e-08
190,0,1,3.84888e-08,2.98923e-07
190,1,0.666666,2.85827e-08,2.10689e-07
190,2,0.333333,1.03037e-08,8.78123e-08
191,0,1,3.84891e-08,3.00699e-07
191,1,0.666666,2.8583e-08,2.11948e-07
191,2,0.333333,1.03037e-08,8.83286e-08
192,0,1,3.84893e-08,3.02474e-07
192,1,0.666666,2.85833e-08,2.13207e-07
192,2,0.333333,1.03038e-08,8.8845e-08
193,0,1,3.84896e-08,3.0425e-07
193,1,0.666666,2.85836e-08,2.14466e-07
193,2,0.333333,1.03038e-08,8.93614e-08
194,0,1,3.84898e-08,3.06025e-07
